,One Match,Two Matches,Three Matches,Perfect Match,Average Match,Data,Number of Samples
0,100.0,81.99,50.13,25.31,60.14,Train,16000
1,100.0,86.21,56.71,31.56,65.84,Train,32000
0,100.0,78.72,42.77,16.26,54.42,Test,16000
1,100.0,81.11,45.66,18.36,57.22,Test,32000
0,100.0,88.86,62.59,38.78,70.39,Train,48000
1,100.0,82.93,50.42,22.22,60.5,Test,48000
0,100.0,90.66,66.46,42.28,73.27,Train,64000
1,100.0,84.24,50.94,22.8,61.78,Test,64000
0,100.0,91.72,70.28,48.47,75.99,Train,80000
1,100.0,84.92,53.1,25.56,63.0,Test,80000
