,epoch,batch,avg_acc_train,avg_acc_test,model_loss_train,model_loss_test
0,30,128,51.91,49.43,2.599836826324463,2.827061891555786
1,30,256,54.01,51.31,2.5517499446868896,2.751330852508545
2,30,512,50.59,48.56,2.656987428665161,2.8096511363983154
3,40,128,53.33,50.3,2.5407023429870605,2.8392996788024902
4,40,256,51.92,49.22,2.5610132217407227,2.8300375938415527
5,40,512,53.78,51.01,2.54913592338562,2.7567813396453857
6,50,128,53.76,50.16,2.522282600402832,2.877300500869751
7,50,256,52.93,49.98,2.5341007709503174,2.8304622173309326
8,50,512,50.82,48.28,2.623180866241455,2.8616180419921875
